si_lat,si_lon,uj_lat,uj_lon,Z1,Z2
32.79222,-115.56306,32.82743,-115.55515,33.0,10.450683548387095
32.805264,-83.543493,32.82138,-83.53324,25.585365853658537,7.268277096774193
32.80581,-97.356529,32.79469,-97.32088,26.2,8.630425483870967
32.820061,-96.860117,32.79499,-96.80747,35.65909090909091,9.563020645161291
32.845709,-117.123964,32.87022,-117.1431,21.933333333333334,6.5477303225806445
32.877583,-111.752222,32.8676,-111.77541,28.51219512195122,8.51922258064516
32.884761,-112.03705,32.83237,-112.02886,28.52173913043478,4.774578419354839
32.967359,-82.806871,32.95308,-82.85921,22.0,8.71261870967742
32.97833,-115.53917,32.93309,-115.58121,39.625,7.038238064516129
32.980254,-80.06501,32.99343,-80.10923,28.12903225806452,9.156944516129032
33.139471,-91.939208,33.10736,-91.90658,25.7,5.859206129032258
33.189931,-87.484189,33.24332,-87.49305,25.2,6.228059677419355
33.220563,-92.672263,33.24875,-92.67285,29.1,8.162328387096773
33.284928,-85.803608,33.29827,-85.7955,21.166666666666668,6.1553535483870965
33.331111,-87.003611,33.30433,-86.96552,26.866666666666667,7.191217741935484
33.362593,-117.09023,33.3152,-117.13068,37.333333333333336,4.315340967741935
33.39623,-111.96799,33.38255,-112.00774,40.38709677419355,7.502591935483871
33.40314,-112.07526,33.38255,-112.00774,49.193548387096776,7.502591935483871
33.41018,-111.86536,33.40023,-111.88013,33.193548387096776,7.479415806451613
33.41123,-111.93471,33.40023,-111.88013,35.645161290322584,7.479415806451613
33.421194,-111.503222,33.45238,-111.49693,15.555555555555555,3.250199677419355
33.4265,-112.11821,33.47124,-112.15677,49.58064516129032,7.935523225806452
33.4339,-82.0224,33.38255,-81.99226,37.38709677419355,9.69193193548387
33.436111,-94.07778,33.40397,-94.08836,29.772727272727277,7.531579677419355
33.447867,-117.088649,33.44425,-117.03283,12.21875,3.189601935483871
33.48378,-112.14256,33.47124,-112.15677,53.60606060606061,7.935523225806452
33.488131,-111.855443,33.50681,-111.90125,17.8,5.5283703225806455
33.499722,-86.924167,33.51904,-86.93697,26.2,7.771122258064516
33.503833,-112.095767,33.4891,-112.02904,46.8780487804878,7.043667419354839
33.521427,-86.844112,33.50702,-86.8082,30.6,9.868380967741937
33.545278,-86.549167,33.58986,-86.53591,26.2,7.786132580645162
33.553056,-86.815,33.50702,-86.8082,36.5,9.868380967741937
33.56031,-112.06619,33.59565,-112.05039,38.483870967741936,5.93342129032258
33.57453,-112.19193,33.57777,-112.1783,39.83870967741935,7.187419032258065
33.58553,-101.78698,33.55624,-101.73415,18.96296296296296,5.240961935483871
33.610845,-84.390717,33.58585,-84.44455,29.6,7.7998770967741935
33.63003,-117.67593,33.66442,-117.62475,25.444444444444443,4.659070000000001
33.6878,-84.2905,33.67789,-84.29805,31.09230769230769,8.602439677419355
33.70853,-116.21537,33.71167,-116.17385,32.9,3.262573870967742
33.739963,-81.853635,33.68431,-81.80011,22.1,7.1931622580645165
33.747236,-115.820124,33.7789,-115.79243,18.6,1.9031409032258064
33.750838,-90.734175,33.80106,-90.6868,26.193548387096776,6.045053548387097
33.7784,-84.3914,33.79991,-84.40872,35.6,9.347954516129032
33.79236,-118.17533,33.77629,-118.19002,45.83606557377049,9.967765483870966
33.802241,-84.435618,33.79991,-84.40872,30.3,9.347954516129032
33.82376,-118.18921,33.77629,-118.19002,47.57142857142857,9.967765483870966
33.83062,-117.93845,33.82594,-117.93684,36.63934426229508,8.641319677419354
33.85275,-116.54101,33.87733,-116.483,22.7,3.1460851612903222
33.859662,-118.200707,33.88144,-118.2201,56.2258064516129,10.477315161290322
33.901389,-118.205,33.88144,-118.2201,50.66666666666666,10.477315161290322
33.918137,-83.344385,33.88939,-83.34098,33.05,7.045424193548388
33.944713,-116.830074,33.93659,-116.76536,12.09375,2.3332066129032256
33.9632,-84.0691,33.98378,-84.11445,41.43333333333333,8.399984516129033
33.991494,-85.992647,33.96811,-85.95804,29.375,6.9801235483870965
33.99636,-117.4924,34.02888,-117.45859,49.5,7.701257419354839
33.99958,-117.41601,34.02888,-117.45859,38.656716417910445,7.701257419354839
34.01029,-118.0685,34.01159,-118.12339,40.06666666666667,10.887279677419356
34.015436,-84.607423,34.04367,-84.63115,31.0,8.081934838709676
34.030833,-117.61722,34.00468,-117.58572,53.083333333333336,8.771579677419355
34.051017,-81.15495,34.03701,-81.19862,24.12727272727273,8.158007741935483
34.06659,-118.22688,34.09178,-118.28053,40.94285714285714,10.350305483870969
34.093959,-80.962304,34.10574,-80.91878,29.33333333333333,9.299349032258066
34.10002,-117.49201,34.13428,-117.48775,38.2,5.304076451612903
34.106678,-117.274063,34.07686,-117.20409,35.333333333333336,5.292553548387097
34.1326,-118.1272,34.1168,-118.15348,26.2,8.519999677419356
34.1365,-117.92391,34.16639,-117.89914,23.5,5.07135935483871
34.19925,-118.53276,34.14641,-118.56503,32.6,6.361840967741935
34.210169,-118.870509,34.20031,-118.84996,26.26923076923077,4.889577096774193
34.214263,-79.767347,34.26731,-79.81901,31.0,7.8110377419354835
34.2439,-113.5586,34.26068,-113.51375,13.35483870967742,1.5689015806451612
34.244189,-97.462931,34.19854,-97.45763,27.967741935483872,6.861380322580645
34.25239,-119.143182,34.25347,-119.13528,21.666666666666668,4.295935483870968
34.26464,-116.86147,34.2533,-116.85006,31.2,1.463605419354839
34.276316,-118.683685,34.22599,-118.72292,25.54901960784314,4.671828064516129
34.288567,-85.969858,34.29011,-85.91044,26.666666666666668,6.382560967741935
34.2993,-83.8134,34.27391,-83.79982,37.66666666666666,6.923963548387097
34.364167,-77.838611,34.36864,-77.78962,14.517241379310343,5.789194193548387
